category,region,source_name,source_url,source_domain,fetch_result,collection_action,notes
NATIONAL_CIVIL_SERVICE,全国,国家公务员考试官方来源档案,https://www.scs.gov.cn/,www.scs.gov.cn,TIMEOUT,MANUAL_ONLY,官方入口请求超时；未绕过访问限制
CENTRAL_SOE,全国,国务院国资委中央企业名录,https://wap.sasac.gov.cn/n2588045/n27271785/n27271792/c14159097/content.html,wap.sasac.gov.cn,TIMEOUT,MANUAL_ONLY,官方央企名录入口请求超时
CENTRAL_SOE,全国,中央企业招聘应届高校毕业生信息公开,https://job.mohrss.gov.cn/qyzp/index.jhtml,job.mohrss.gov.cn,TIMEOUT,MANUAL_ONLY,官方公开页请求超时
BIGTECH,全国,拼多多集团PDD校园招聘官网,https://careers.pddglobalhr.com/campus/,careers.pddglobalhr.com,OK,APPROVED,发现2027届校招和实习生招聘两条项目
BIGTECH,全国,海尔校园招聘官网,https://wxmaker.haier.net/client/campus/index,wxmaker.haier.net,TIMEOUT,NEEDS_REVIEW,搜索结果显示2027提前批但官方页请求超时，未发布
BIGTECH,全国,微众银行校园招聘,https://campus.webank.com/,campus.webank.com,REDIRECT_LOOP,NEEDS_REVIEW,出现重定向循环，未发布
BIGTECH,全国,中国移动招聘网站,https://job.10086.cn/,job.10086.cn,OK,NO_CURRENT_2027_PROJECT,页面可访问但本次看到的是2026春招历史公告
PROVINCIAL_CIVIL_SERVICE,北京,北京公务员考试官方来源档案,https://www.beijing.gov.cn/gongkai/rsxx/gwyzk/index.html,www.beijing.gov.cn,OK,RAW_ONLY,当前列表含2026补录和拟录用公示
PROVINCIAL_CIVIL_SERVICE,天津,天津公务员考试官方来源档案,https://www.tj.gov.cn/zwgk/zfxxgkzl/fdzdgknr/zkly/,www.tj.gov.cn,OK,RAW_ONLY,当前列表含2026公告和遴选公示
PROVINCIAL_CIVIL_SERVICE,河北,河北公务员考试官方来源档案,https://www.hebpta.com.cn/,www.hebpta.com.cn,EMPTY,NEEDS_REVIEW,页面无可解析正文
PROVINCIAL_CIVIL_SERVICE,山西,山西公务员考试官方来源档案,https://rst.shanxi.gov.cn/,rst.shanxi.gov.cn,TIMEOUT,MANUAL_ONLY,请求超时
PROVINCIAL_CIVIL_SERVICE,内蒙古,内蒙古公务员考试官方来源档案,https://www.impta.com.cn/,www.impta.com.cn,BAD_GATEWAY,MANUAL_ONLY,返回502
PROVINCIAL_CIVIL_SERVICE,辽宁,辽宁公务员考试官方来源档案,https://www.lnrsks.com/,www.lnrsks.com,TIMEOUT,MANUAL_ONLY,请求超时
PROVINCIAL_CIVIL_SERVICE,吉林,吉林公务员考试官方来源档案,https://hrss.jl.gov.cn/,hrss.jl.gov.cn,OK,RAW_ONLY,官方厅网站可访问但未确认2027省考公告
PROVINCIAL_CIVIL_SERVICE,黑龙江,黑龙江公务员考试官方来源档案,https://www.hljsgwy.org.cn/,www.hljsgwy.org.cn,REDIRECT,RAW_ONLY,重定向至tyzpwb/index.html
PROVINCIAL_CIVIL_SERVICE,上海,上海公务员考试官方来源档案,https://bm.shacs.gov.cn/zlxt,bm.shacs.gov.cn,REDIRECT,RAW_ONLY,重定向至报名系统子路径
PROVINCIAL_CIVIL_SERVICE,江苏,江苏公务员考试官方来源档案,https://jshrss.jiangsu.gov.cn/col/col57253/index.html,jshrss.jiangsu.gov.cn,OK,RAW_ONLY,未确认当前2027省考公告
PROVINCIAL_CIVIL_SERVICE,浙江,浙江公务员考试官方来源档案,https://gwy.zjks.gov.cn/,gwy.zjks.gov.cn,EMPTY,NEEDS_REVIEW,无可解析正文
